n	potential_hex	potential	recurrence_upper	gap_lower	ratio_upper	evaluations
71	0x1.2a8c0c6d1240ep+11	2388.3765168529999	2388.1108220518076	0.26569480119223948	0.47379022353759187	289548
72	0x1.32ec673f40768p+11	2455.387603403	2455.1129576392191	0.27464576378088162	0.47364730003915906	294855
73	0x1.3b6a6857a6405p+11	2523.3252371069998	2523.0414715032621	0.28376560373772003	0.47350820737605565	300301
74	0x1.44060fb92dde9p+11	2592.1894193550002	2591.8962746667262	0.29314468827396917	0.47337279389243991	305663
75	0x1.4cbf5d66de058p+11	2661.9801515899999	2661.6776198278553	0.30253176214455374	0.47324091583822236	311113
76	0x1.55965163b9a7ap+11	2732.6974352480001	2732.3853152029469	0.31212004505323415	0.47311243685041565	316483
77	0x1.5e8aebb2cefd6p+11	2804.3412717860001	2804.0192949321467	0.32197685385335711	0.4729872274896274	321947
78	0x1.679d2c57308aep+11	2876.9116626690002	2876.5797301597868	0.33193250921340217	0.47286516480424085	327327
79	0x1.70cd1353f15d9p+11	2950.4086093629999	2950.066479885958	0.34212947704190805	0.47274613192805648	332834
80	0x1.7a1aa0ac1f24bp+11	3024.8321133240001	3024.4792229821442	0.35289034185598206	0.47263001770687518	338271
81	0x1.8385d462c78f4p+11	3100.1821760080002	3099.8183412513804	0.36383475661978076	0.4725167163554338	343798
82	0x1.8d0eae7aefb56p+11	3176.4587988550002	3176.0844161661034	0.37438268889673049	0.47240612713489011	349253
83	0x1.96b52ef79e4b7p+11	3253.6619833079999	3253.2768241885915	0.38515911940839936	0.47229815405835396	354796
84	0x1.a07955dbd7e03p+11	3331.791730806	3331.3956918011268	0.39603900487327331	0.4721927056130954	360316
85	0x1.aa5b232aa6609p+11	3410.8480427979998	3410.4410325398444	0.40701025815542374	0.47208969450491367	365904
86	0x1.b45a96e713304p+11	3490.8309207319999	3490.4127595365871	0.41816119541272195	0.47198903741644149	371414
87	0x1.be77b1143ca2fp+11	3571.7403660949999	3571.3109161993202	0.42944989567968145	0.47189065478861159	376998
88	0x1.c8b271b54919fp+11	3653.576380389	3653.1355332589847	0.44084713001529957	0.47179447060808383	382601
89	0x1.d30ad8cd71378p+11	3736.3389651500001	3735.8865315514277	0.45243359857249738	0.47170041221436704	388313
90	0x1.dd80e6600988ap+11	3820.0281219660001	3819.5640016775656	0.46412028843451475	0.47160841011925941	393949
