r3per	15	225	2	1 2 3 1 2 3 1 2 3 1 2 3 1 2 3
r3sum	15	225	1	1 1 1 1 1 2 2 2 2 2 3 3 3 3 3
r3sum	15	225	2	1 1 1 1 1 2 2 2 2 2 3 3 3 3 3
r3blk	15	225	1	1 1 1 2 2 2 3 3 3 1 1 2 2 3 3
r3blk	15	225	2	1 1 1 2 2 2 3 3 3 1 1 2 2 3 3
r3rnd	15	225	1	1 2 2 2 3 1 3 2 1 3 3 2 1 1 3
r3rnd	15	225	2	1 2 2 2 3 1 3 2 1 3 3 2 1 1 3
id	16	256	1	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
id	16	256	2	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r2per	16	256	1	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2per	16	256	2	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2sum	16	256	1	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2
r2sum	16	256	2	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2
r2blk	16	256	1	1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 2
r2blk	16	256	2	1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 2
r2rnd	16	256	1	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1
r2rnd	16	256	2	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1
id	20	400	1	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
id	20	400	2	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r2per	20	400	1	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2per	20	400	2	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2sum	20	400	1	1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2
r2sum	20	400	2	1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2
r2blk	20	400	1	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2
r2blk	20	400	2	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2
r2rnd	20	400	1	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1
r2rnd	20	400	2	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1
r3per	9	71	1	1 2 3 1 2 3 1 2 3
r3per	9	71	2	1 2 3 1 2 3 1 2 3
r3sum	9	71	1	1 1 1 2 2 2 3 3 3
r3sum	9	71	2	1 1 1 2 2 2 3 3 3
r3blk	9	71	1	1 1 2 2 3 3 1 2 3
r3blk	9	71	2	1 1 2 2 3 3 1 2 3
r3rnd	9	71	1	1 3 3 3 1 2 2 1 2
r3rnd	9	71	2	1 3 3 3 1 2 2 1 2
r3per	15	197	1	1 2 3 1 2 3 1 2 3 1 2 3 1 2 3
r3per	15	197	2	1 2 3 1 2 3 1 2 3 1 2 3 1 2 3
r3sum	15	197	1	1 1 1 1 1 2 2 2 2 2 3 3 3 3 3
r3sum	15	197	2	1 1 1 1 1 2 2 2 2 2 3 3 3 3 3
r3blk	15	197	1	1 1 1 2 2 2 3 3 3 1 1 2 2 3 3
r3blk	15	197	2	1 1 1 2 2 2 3 3 3 1 1 2 2 3 3
r3rnd	15	197	1	1 2 2 2 3 1 3 2 1 3 3 2 1 1 3
r3rnd	15	197	2	1 2 2 2 3 1 3 2 1 3 3 2 1 1 3
id	8	56	1	1 1 1 1 1 1 1 1
id	8	56	2	1 1 1 1 1 1 1 1
r2per	8	56	1	1 2 1 2 1 2 1 2
r2per	8	56	2	1 2 1 2 1 2 1 2
r2sum	8	56	1	1 1 1 1 2 2 2 2
r2sum	8	56	2	1 1 1 1 2 2 2 2
