r3blk	9	35	2	1 1 2 2 3 3 1 2 3	2000
r3rnd	9	35	1	1 3 3 3 1 2 2 1 2	2000
r3rnd	9	35	2	1 3 3 3 1 2 2 1 2	2000
id	8	24	1	1 1 1 1 1 1 1 1	2000
id	8	24	2	1 1 1 1 1 1 1 1	2000
r2per	8	24	1	1 2 1 2 1 2 1 2	2000
r2per	8	24	2	1 2 1 2 1 2 1 2	2000
r2sum	8	24	1	1 1 1 1 2 2 2 2	2000
r2sum	8	24	2	1 1 1 1 2 2 2 2	2000
r2blk	8	24	1	1 1 2 2 1 1 2 2	2000
r2blk	8	24	2	1 1 2 2 1 1 2 2	2000
r2rnd	8	24	1	1 2 2 1 2 1 1 2	2000
r2rnd	8	24	2	1 2 2 1 2 1 1 2	2000
id	12	54	1	1 1 1 1 1 1 1 1 1 1 1 1	2000
id	12	54	2	1 1 1 1 1 1 1 1 1 1 1 1	2000
r2per	12	54	1	1 2 1 2 1 2 1 2 1 2 1 2	2000
r2per	12	54	2	1 2 1 2 1 2 1 2 1 2 1 2	2000
r2sum	12	54	1	1 1 1 1 1 1 2 2 2 2 2 2	2000
r2sum	12	54	2	1 1 1 1 1 1 2 2 2 2 2 2	2000
r2blk	12	54	1	1 1 1 2 2 2 1 1 1 2 2 2	2000
r2blk	12	54	2	1 1 1 2 2 2 1 1 1 2 2 2	2000
r2rnd	12	54	1	1 1 2 2 1 1 1 2 2 2 1 2	2000
r2rnd	12	54	2	1 1 2 2 1 1 1 2 2 2 1 2	2000
id	16	96	1	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	2000
id	16	96	2	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1	2000
r2per	16	96	1	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	2000
r2per	16	96	2	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	2000
r2sum	16	96	1	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2	2000
r2sum	16	96	2	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2	2000
