host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
159,33,33,278,33,0,0,0,0,0,0,33,0,0,0,1,1,1,0,0,0,0,0,0
160,35,35,262,35,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
161,26,32,492,24,0,0,0,0,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0
162,40,40,226,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
163,13,13,762,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
164,40,42,262,39,0,0,0,0,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0
165,50,54,206,48,0,0,0,0,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0
166,38,38,258,38,0,0,0,0,0,0,38,1,1,1,0,0,0,0,0,0,0,0,0
167,25,25,396,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
168,36,36,274,36,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
169,43,43,224,43,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
170,47,47,188,47,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
171,60,62,166,59,0,0,0,2,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
172,57,57,154,57,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
173,56,62,176,53,0,0,0,0,6,0,56,0,0,0,0,0,0,0,0,0,1,1,1
174,28,28,354,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
175,56,60,182,54,0,0,0,0,4,0,56,0,0,0,0,0,0,0,0,0,0,0,0
176,43,53,286,38,0,0,0,2,8,0,43,0,0,0,0,0,0,0,0,0,0,0,0
177,36,36,274,36,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
178,26,26,382,26,0,0,0,0,0,0,26,0,0,0,1,1,1,0,0,0,0,0,0
179,20,20,488,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
180,22,22,484,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
181,19,19,494,19,0,0,0,0,0,0,19,1,1,1,0,0,0,0,0,0,0,0,0
182,20,20,514,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
183,32,34,300,31,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0
184,40,40,218,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
185,41,41,216,41,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
186,52,52,234,52,0,0,0,0,0,0,52,0,0,0,1,1,1,1,1,1,0,0,0
187,13,15,784,12,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0
188,36,46,270,31,0,0,0,0,10,0,36,0,0,0,0,0,0,0,0,0,1,1,1
189,62,66,158,60,0,0,0,0,4,0,62,0,0,0,0,0,0,0,0,0,0,0,0
190,31,31,306,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
191,33,35,364,32,0,0,0,0,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0
192,49,53,188,47,0,0,0,0,4,0,49,0,0,0,0,0,0,0,0,0,0,0,0
193,18,18,548,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
194,40,40,256,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
195,19,19,466,19,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
196,36,36,288,36,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
